基地面積,建築面積,總樓地板面積,建築物高度,建造類別,構造別,地號,樓層用途
2645.0,134.73,249.77,9.66,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2農舍
2645.0,134.73,249.77,9.66,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2農舍
1417.63,82.62,269.96,10.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2農舍
1417.63,82.62,269.96,10.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2農舍
1417.63,82.62,269.96,10.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2農舍
1417.63,82.62,269.96,10.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2樓梯間
140.87,72.98,214.86,10.5,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2住宅
140.87,72.98,214.86,10.5,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2住宅
140.87,72.98,214.86,10.5,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2住宅
3604.0,207.32,267.11,7.45,新建,鋼骨造,宜蘭縣三星鄉,H2農舍
3604.0,207.32,267.11,7.45,新建,鋼骨造,宜蘭縣三星鄉,H2農舍
94.0,56.26,183.99,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
94.0,56.26,183.99,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
94.0,56.26,183.99,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
94.0,56.26,183.99,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
224.06,108.39,284.02,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
224.06,108.39,284.02,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
224.06,108.39,284.02,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
224.06,108.39,284.02,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,水塔間
240.58,108.39,284.5,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
240.58,108.39,284.5,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
240.58,108.39,284.5,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
240.58,108.39,284.5,12.43,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,水塔間
201.0,115.85,317.73,10.8,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2住宅
201.0,115.85,317.73,10.8,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2住宅
201.0,115.85,317.73,10.8,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,H2住宅
201.0,115.85,317.73,10.8,新建,鋼筋混凝土(RC),宜蘭縣三星鄉,水箱
1901.1,45.0,45.0,3.5,新建,鋼筋混凝土加強磚造,宜蘭縣三星鄉,C2農業設施-農業資材室
76.0,37.62,161.34,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,"H2住宅(住宅:22.8㎡,停車空間14.82㎡)"
76.0,37.62,161.34,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
76.0,37.62,161.34,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
76.0,37.62,161.34,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
76.0,37.62,161.34,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,電梯間
77.0,36.77,157.71,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,"H2住宅(住宅:22.3㎡,停車空間14.47㎡)"
77.0,36.77,157.71,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
77.0,36.77,157.71,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
77.0,36.77,157.71,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
77.0,36.77,157.71,10.3,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,電梯間
149.0,88.32,264.0,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
149.0,88.32,264.0,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
149.0,88.32,264.0,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
149.0,88.32,264.0,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
139.0,82.5,242.01,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
139.0,82.5,242.01,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
139.0,82.5,242.01,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
139.0,82.5,242.01,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
